sli_no,paid_amt,order_no,price_type_desc,price_type_short_desc,sli_status_desc,perf_dt,order_dt,price_type_category_desc,price_type_category_short_desc,perf_desc,prod_desc,perf_type_desc,season_desc,season_fy,mos_desc,site_code,gl_account_no
760,6,472759,Child (5-17),Child 5-17,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
770,0,472765,Adult,Adult,"Seated, Paid",5/3/2016 10:00,3/8/2016 13:39,Standard,Stand,A Wedding at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
771,0,472765,Adult,Adult,"Seated, Paid",5/3/2016 10:00,3/8/2016 13:39,Standard,Stand,A Wedding at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
773,4,472767,Member Child,Mem Child,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Member,Mem,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
774,4,472767,Member Adult,Mem Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Member,Mem,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
775,4,472767,Member Adult,Mem Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Member,Mem,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
776,6,472768,Child (Under 5),Ch Under 5,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
777,6,472768,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
778,6,472768,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
782,6,472771,Child (5-17),Child 5-17,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
783,6,472771,Child (5-17),Child 5-17,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
784,6,472772,Child (5-17),Child 5-17,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
785,6,472772,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
786,6,472772,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
787,6,472772,Child (Under 5),Ch Under 5,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
815,6,472793,Child (Under 5),Ch Under 5,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
816,6,472793,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
817,6,472793,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
818,6,472794,Child (5-17),Child 5-17,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
819,6,472794,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
825,0,472796,Comp,Comp,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Comp,Comp,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
826,0,472796,Comp,Comp,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Comp,Comp,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
833,6,472801,Child (5-17),Child 5-17,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
834,6,472801,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
835,6,472801,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
838,6,472803,Child (Under 5),Ch Under 5,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
839,6,472803,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
840,6,472803,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
846,6,472807,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
847,6,472807,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
848,6,472807,Child (Under 5),Ch Under 5,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
867,6,472817,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
868,6,472817,Adult,Adult,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
869,6,472817,Child (Under 5),Ch Under 5,"Seated, Paid",3/19/2016 10:00,3/8/2016 13:39,Standard,Stand,Hill House Easter Egg Hunt,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,40-00357-4110-                
878,0,472822,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
879,0,472822,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
880,0,472822,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
881,0,472822,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
882,0,472822,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
883,0,472822,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
884,0,472822,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
885,0,472822,Adult,Adult,"Seated, Paid",4/5/2016 10:00,3/8/2016 13:39,Standard,Stand,Art at the Hill House,HIL Programs,Programs,HIL FY16,2016,MHC,HIL,00-000-0000-000000            
